FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE,INGRESO_MENSUAL_CLIENTE
20230105.0,NMIV,LIMA,LIMA,LURIGANCHO,150118.0,Continental,Banco,119900.0,16100.0,240.0,9.72,161000.0,20250108.0,3783.0218041404078
20230105.0,NMIV,LIMA,LIMA,COMAS,150110.0,Continental,Banco,70000.0,18190.0,180.0,8.85,114990.0,20250108.0,2345.8465861517543
20230105.0,NMIV,LIMA,LIMA,RIMAC,150128.0,Credito,Banco,105900.0,50000.0,300.0,9.71,175500.0,20250108.0,3135.83517127357
20230105.0,NMIV,LIMA,LIMA,CARABAYLLO,150106.0,Credito,Banco,149766.0,19420.0,180.0,10.39,194186.0,20250108.0,5484.37741800556
20230105.0,NMIV,PUNO,SAN ROMAN,JULIACA,211101.0,Credito,Banco,138000.0,26500.0,180.0,10.09,189500.0,20250108.0,4968.541694036426
20230105.0,NMIV,LIMA,LIMA,CARABAYLLO,150106.0,Credito,Banco,142450.0,27950.0,300.0,9.7,190000.0,20250108.0,4214.80754179243
20230105.0,NMIV,LIMA,LIMA,RIMAC,150128.0,Credito,Banco,138530.0,18170.0,120.0,9.19,181700.0,20250108.0,5897.052800055087
20230105.0,NMIV,LIMA,LIMA,LINCE,150116.0,Credito,Banco,159709.64,20523.29,180.0,8.99,205232.93,20250108.0,5396.438557591942
20230105.0,NMIV,LIMA,LIMA,RIMAC,150128.0,Credito,Banco,173220.0,25080.0,300.0,9.0,223300.0,20250108.0,4845.519803627575
20230105.0,NMIV,LIMA,LIMA,CARABAYLLO,150106.0,Credito,Banco,149881.0,19542.0,240.0,10.59,194423.0,20250108.0,5018.1792384860355
20230105.0,NMIV,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143.0,CMAC Huancayo,CMAC,47000.0,20000.0,60.0,12.05,92700.0,20250108.0,3488.9232034841084
20230105.0,NMIV,LIMA,LIMA,CARABAYLLO,150106.0,Credito,Banco,145525.0,42631.0,120.0,10.59,213156.0,20250108.0,6569.941469409137
20230105.0,NMIV,LIMA,LIMA,SAN MARTIN DE PORRES,150135.0,Scotiabank,Banco,178400.0,22000.0,240.0,9.6,220000.0,20250108.0,5581.963651327919
20230105.0,NMIV,LIMA,LIMA,COMAS,150110.0,Continental,Banco,81460.0,12030.0,240.0,8.82,120290.0,20250108.0,2411.710707803626
20230105.0,NMIV,LIMA,LIMA,COMAS,150110.0,Continental,Banco,81461.0,12029.0,240.0,9.72,120290.0,20250108.0,2570.214672119114
20230105.0,NMIV,SAN MARTIN,SAN MARTIN,TARAPOTO,220901.0,BANBIF,Banco,133400.0,20000.0,60.0,9.9,173000.0,20250108.0,9425.98800995958
20230105.0,FCTP,ICA,PISCO,SAN CLEMENTE,110507.0,Continental,Banco,36593.13,4761.87,240.0,13.0,81605.0,20250108.0,1429.0540769216498
20230105.0,FCTP,ICA,PISCO,PISCO,110501.0,CMAC Huancayo,CMAC,45900.0,2225.0,95.0,13.99,86625.0,20250108.0,2672.2206411101556
20230105.0,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115.0,Continental,Banco,40250.0,6000.0,180.0,13.0,86500.0,20250108.0,1697.533241099277
20230105.0,FCTP,ICA,PISCO,SAN CLEMENTE,110507.0,Continental,Banco,30000.0,11150.0,60.0,13.0,81400.0,20250108.0,2275.3073044224143
20230105.0,NMIV,LIMA,LIMA,SAN MIGUEL,150136.0,Interbank,Banco,288014.4,33800.0,240.0,8.26,338000.0,20250108.0,8186.266270057977
20230105.0,NMIV,LIMA,LIMA,CARABAYLLO,150106.0,Continental,Banco,295200.0,34000.0,300.0,10.22,340000.0,20250108.0,9094.671103521243
20230105.0,NMIV,LIMA,LIMA,COMAS,150110.0,Continental,Banco,358530.0,63270.0,276.0,9.72,421800.0,20250108.0,10851.091213893686
20230105.0,NMIV,LIMA,LIMA,COMAS,150110.0,Continental,Banco,257184.0,30376.0,240.0,8.82,303760.0,20250108.0,7614.208282295208
20230105.0,NMIV,LIMA,LIMA,LINCE,150116.0,Continental,Banco,295200.0,34000.0,300.0,10.22,340000.0,20250108.0,9094.671103521243
20230105.0,NMIV,LIMA,LIMA,JESUS MARIA,150113.0,Credito,Banco,244710.0,46043.0,144.0,8.7,306953.0,20250108.0,9145.638356714286
20230105.0,NMIV,LA LIBERTAD,TRUJILLO,TRUJILLO,130101.0,Credito,Banco,201960.0,54540.0,240.0,9.59,272700.0,20250108.0,6314.724823857267
20230105.0,NMIV,LIMA,LIMA,LIMA,150101.0,Credito,Banco,197080.0,53320.0,240.0,9.05,266600.0,20250108.0,5931.741100961458
20230105.0,NMIV,LIMA,LIMA,SAN MIGUEL,150136.0,Credito,Banco,361600.0,90400.0,240.0,8.74,452000.0,20250108.0,10643.970122762943
20230105.0,NMIV,LIMA,LIMA,SANTIAGO DE SURCO,150140.0,Credito,Banco,288883.39,33898.15,240.0,8.89,338981.54,20250108.0,8595.856639284182
20230105.0,NMIV,LIMA,LIMA,LINCE,150116.0,Credito,Banco,287038.06,33693.12,240.0,8.09,336931.18,20250108.0,8056.6793857794255
20230105.0,NMIV,LIMA,LIMA,MAGDALENA DEL MAR,150120.0,Credito,Banco,257536.8,30415.2,240.0,7.95,304152.0,20250108.0,7153.779759829471
20230105.0,NMIV,LIMA,LIMA,LA VICTORIA,150115.0,Credito,Banco,360000.0,100000.0,300.0,8.9,460000.0,20250108.0,9988.309811055417
20230105.0,NMIV,LIMA,LIMA,SANTIAGO DE SURCO,150140.0,Credito,Banco,171182.78,60000.0,120.0,9.89,247382.78,20250108.0,7505.928932111937
